Name,Prof1,Prof2,Prof3,Prof4,Prof5,Area1,Area2
Christopher Robin,Dowling,Maginn,Colón,,,Energy,Biotech
Eeyore,Bergerson,Maginn,Dowling,,,Energy,Biotech
Heffalump,Bilgicer,Hicks,Colón,,,Biotech,Energy
Kanga,Hicks,Bilgicer,Maginn,,,Biotech,Energy
Owl,Hicks,Colón,Bergerson,,,Biotech,Energy
Piglet,Colón,Bilgicer,Dowling,,,Biotech,Energy
Pooh,Dowling,Colón,Maginn,,,Energy,Biotech
Rabbit,Maginn,Bergerson,Hicks,,,Energy,Biotech
Roo,Bilgicer,Maginn,Dowling,,,Biotech,Energy
Tigger,Bilgicer,Bergerson,Hicks,,,Biotech,Energy
